runName,test_accuracy,test_f1,test_roc_auc,cv_f1_mean,ttest_pvalue,wilcoxon_pvalue
Comparacion_estadistica,,,,,0.07241331637599563,0.125
RandomForest,0.8044692737430168,0.7286821705426356,0.839262187088274,0.7535354528177535,,
RegresionLogistica,0.8044692737430168,0.7244094488188977,0.8436100131752307,0.724279270694365,,
